,Authors,Quotes,Likes,tags
0,"C.S. Lewis,","“In friendship...we think we have chosen our peers. In reality a few years' difference in the dates of our births, a few more miles between certain houses, the choice of one university instead of another...the accident of a topic being raised or not raised at a first meeting--any of these chances might have kept us apart. But, for a Christian, there are, strictly speaking no chances. A secret master of ceremonies has been at work. Christ, who said to the disciples, ""Ye have not chosen me, but I have chosen you,"" can truly say to every group of Christian friends, ""Ye have not chosen one another but I have chosen you for one another."" The friendship is not a reward for our discriminating and good taste in finding one another out. It is the instrument by which God reveals to each of us the beauties of others.”",1304,"['friendship,', 'inspirational']"
1,Kahlil Gibran,"“No human relation gives one possession in another—every two souls are absolutely different. In friendship or in love, the two side by side raise hands together to find what one cannot reach alone.”",1104,"['friendship,', 'love']"
2,"Walter Dean Myers,","“Cutting people out of your life is easy, keeping them in is hard.”",1032,['friendship']
3,Jess C Scott,"“A fit, healthy body—that is the best fashion statement”",1026,"['beauty,', 'body,', 'body-image,', 'culture,', 'dance,', 'dancer,', 'desire,', 'fashion,', 'fitness,', 'food,', 'food-for-thought,', 'friendship,', 'funny,', 'girl,', 'health,', 'healthy,', 'hip-hop,', 'honesty,', 'humor,', 'humour,', 'imagination,', 'individuality,', 'life,', 'love,', 'lust-for-life,', 'music,', 'novel,', 'passion,', 'reality,', 'relationships,', 'self,', 'sex,', 'truth,', 'wisdom,', 'young,', 'young-adult,', 'young-adult-fiction,', 'young-adult-literature,', 'young-adult-novels,', 'young-adults,', 'youth']"
4,"George R.R. Martin,","“My old grandmother always used to say, Summer friends will melt away like summer snows, but winter friends are friends forever.”",1023,"['a-song-of-ice-and-fire,', 'friendship,', 'george-r-r-martin,', 'summer,', 'winter']"
5,"Chuck Palahniuk,","“It's not love or anything, but I think I like you, too.”",967,['friendship']
6,"J.K. Rowling,","“Luna had decorated her bedroom ceiling with five beautifully painted faces: Harry, Ron, Hermione, Ginny, and Neville. They were not moving as the portraits at Hogwarts moved, but there was a certain magic about them all the same: Harry thought they breathed. What appeared to be fine golden chains wove around the pictures, linking them together, but after examining them for a minute or so, Harry realized that the chains were actually one word, repeated a thousand times in golden ink:",967,['friendship']
7,"Charlotte Brontë,","“There is no happiness like that of being loved by your fellow creatures, and feeling that your presence is an addition to their comfort.”",962,"['friendship,', 'happiness,', 'inspirational']"
8,Jamie Weise,"“Sometimes you want to say, “I love you, but…”",961,"['breakup,', 'breakups,', 'friendship,', 'i-love-him,', 'i-love-you,', 'jamie-weise,', 'love,', 'love-affair,', 'love-and-romance,', 'love-story,', 'lovers,', 'passion,', 'passions,', 'unconditional']"
9,John Churton Collins,“In prosperity our friends know us; in adversity we know our friends.”,955,['friendship']
